CustomerID,Cluster,Rec1_StockCode,Rec1_Description,Rec2_StockCode,Rec2_Description,Rec3_StockCode,Rec3_Description
12346.0,0,21212,PACK OF 72 RETROSPOT CAKE CASES,84879,ASSORTED COLOUR BIRD ORNAMENT,22197,SMALL POPCORN HOLDER
12347.0,0,21212,PACK OF 72 RETROSPOT CAKE CASES,84879,ASSORTED COLOUR BIRD ORNAMENT,22197,SMALL POPCORN HOLDER
12348.0,0,21212,PACK OF 72 RETROSPOT CAKE CASES,84879,ASSORTED COLOUR BIRD ORNAMENT,22197,SMALL POPCORN HOLDER
12349.0,0,21212,PACK OF 72 RETROSPOT CAKE CASES,84879,ASSORTED COLOUR BIRD ORNAMENT,22197,SMALL POPCORN HOLDER
12350.0,0,21212,PACK OF 72 RETROSPOT CAKE CASES,84879,ASSORTED COLOUR BIRD ORNAMENT,22197,SMALL POPCORN HOLDER
12352.0,0,21212,PACK OF 72 RETROSPOT CAKE CASES,84879,ASSORTED COLOUR BIRD ORNAMENT,22197,SMALL POPCORN HOLDER
12353.0,0,21212,PACK OF 72 RETROSPOT CAKE CASES,84879,ASSORTED COLOUR BIRD ORNAMENT,22197,SMALL POPCORN HOLDER
12354.0,0,21212,PACK OF 72 RETROSPOT CAKE CASES,84879,ASSORTED COLOUR BIRD ORNAMENT,22197,SMALL POPCORN HOLDER
12355.0,0,21212,PACK OF 72 RETROSPOT CAKE CASES,84879,ASSORTED COLOUR BIRD ORNAMENT,22197,SMALL POPCORN HOLDER
12356.0,0,84879,ASSORTED COLOUR BIRD ORNAMENT,22197,SMALL POPCORN HOLDER,23084,RABBIT NIGHT LIGHT
12357.0,0,21212,PACK OF 72 RETROSPOT CAKE CASES,84879,ASSORTED COLOUR BIRD ORNAMENT,22197,SMALL POPCORN HOLDER
12358.0,0,21212,PACK OF 72 RETROSPOT CAKE CASES,84879,ASSORTED COLOUR BIRD ORNAMENT,22197,SMALL POPCORN HOLDER
12359.0,0,21212,PACK OF 72 RETROSPOT CAKE CASES,84879,ASSORTED COLOUR BIRD ORNAMENT,22197,SMALL POPCORN HOLDER
12360.0,0,21212,PACK OF 72 RETROSPOT CAKE CASES,84879,ASSORTED COLOUR BIRD ORNAMENT,22197,SMALL POPCORN HOLDER
12361.0,0,21212,PACK OF 72 RETROSPOT CAKE CASES,84879,ASSORTED COLOUR BIRD ORNAMENT,22197,SMALL POPCORN HOLDER
12362.0,0,21212,PACK OF 72 RETROSPOT CAKE CASES,84879,ASSORTED COLOUR BIRD ORNAMENT,23084,RABBIT NIGHT LIGHT
12363.0,0,84879,ASSORTED COLOUR BIRD ORNAMENT,22197,SMALL POPCORN HOLDER,23084,RABBIT NIGHT LIGHT
12364.0,0,84879,ASSORTED COLOUR BIRD ORNAMENT,22197,SMALL POPCORN HOLDER,23084,RABBIT NIGHT LIGHT
12365.0,0,21212,PACK OF 72 RETROSPOT CAKE CASES,84879,ASSORTED COLOUR BIRD ORNAMENT,22197,SMALL POPCORN HOLDER
12367.0,0,21212,PACK OF 72 RETROSPOT CAKE CASES,84879,ASSORTED COLOUR BIRD ORNAMENT,22197,SMALL POPCORN HOLDER
12370.0,0,21212,PACK OF 72 RETROSPOT CAKE CASES,22197,SMALL POPCORN HOLDER,23084,RABBIT NIGHT LIGHT
12371.0,0,21212,PACK OF 72 RETROSPOT CAKE CASES,84879,ASSORTED COLOUR BIRD ORNAMENT,22197,SMALL POPCORN HOLDER
12372.0,0,21212,PACK OF 72 RETROSPOT CAKE CASES,84879,ASSORTED COLOUR BIRD ORNAMENT,22197,SMALL POPCORN HOLDER
12373.0,0,21212,PACK OF 72 RETROSPOT CAKE CASES,84879,ASSORTED COLOUR BIRD ORNAMENT,22197,SMALL POPCORN HOLDER
12374.0,0,21212,PACK OF 72 RETROSPOT CAKE CASES,84879,ASSORTED COLOUR BIRD ORNAMENT,22197,SMALL POPCORN HOLDER
12375.0,0,21212,PACK OF 72 RETROSPOT CAKE CASES,84879,ASSORTED COLOUR BIRD ORNAMENT,22197,SMALL POPCORN HOLDER
12377.0,0,21212,PACK OF 72 RETROSPOT CAKE CASES,84879,ASSORTED COLOUR BIRD ORNAMENT,23084,RABBIT NIGHT LIGHT
12378.0,0,84879,ASSORTED COLOUR BIRD ORNAMENT,22197,SMALL POPCORN HOLDER,23084,RABBIT NIGHT LIGHT
12379.0,0,84879,ASSORTED COLOUR BIRD ORNAMENT,22197,SMALL POPCORN HOLDER,23084,RABBIT NIGHT LIGHT
12380.0,0,84879,ASSORTED COLOUR BIRD ORNAMENT,22197,SMALL POPCORN HOLDER,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS
12381.0,0,84879,ASSORTED COLOUR BIRD ORNAMENT,22197,SMALL POPCORN HOLDER,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS
12383.0,0,84879,ASSORTED COLOUR BIRD ORNAMENT,22197,SMALL POPCORN HOLDER,23084,RABBIT NIGHT LIGHT
12384.0,0,21212,PACK OF 72 RETROSPOT CAKE CASES,84879,ASSORTED COLOUR BIRD ORNAMENT,22197,SMALL POPCORN HOLDER
12386.0,0,21212,PACK OF 72 RETROSPOT CAKE CASES,84879,ASSORTED COLOUR BIRD ORNAMENT,22197,SMALL POPCORN HOLDER
12388.0,0,21212,PACK OF 72 RETROSPOT CAKE CASES,84879,ASSORTED COLOUR BIRD ORNAMENT,22197,SMALL POPCORN HOLDER
12390.0,0,84879,ASSORTED COLOUR BIRD ORNAMENT,22197,SMALL POPCORN HOLDER,23084,RABBIT NIGHT LIGHT
12391.0,0,21212,PACK OF 72 RETROSPOT CAKE CASES,84879,ASSORTED COLOUR BIRD ORNAMENT,22197,SMALL POPCORN HOLDER
12393.0,0,21212,PACK OF 72 RETROSPOT CAKE CASES,84879,ASSORTED COLOUR BIRD ORNAMENT,22197,SMALL POPCORN HOLDER
